,Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Unnamed: 14
1891,D Joseph (CAN),2003-2003,4,13,9*,-,0,5,2/42,34.00,0,0,0,-,
1892,Junaid Zia (PAK),2003-2003,4,2,2*,2.00,0,3,3/21,42.33,0,0,0,-40.33,
1893,LWS Kaluperuma (SL),1975-1982,4,33,14*,-,0,2,1/35,68.50,0,0,0,-,
1894,Kamran Shazad (UAE),2014-2015,4,22,13,11.00,0,7,3/41,29.85,0,1,0,-18.85,
1895,RB Kerr (AUS),1985-1985,4,97,87*,32.33,0,-,-,-,-,1,0,-,
1896,BA King (WI),2019-2020,4,97,39,24.25,0,-,-,-,-,3,0,-,
1897,FJ Klaassen (NL),2018-2019,4,30,13,15.00,0,10,3/30,15.00,0,2,0,0.00,
1898,CKB Kulasekara (SL),2011-2012,4,38,19,12.66,0,0,-,-,0,1,0,-,
1899,GFJ Liebenberg (SA),1995-1998,4,94,39,23.50,0,-,-,-,-,0,0,-,
1900,JB Little (IRE),2019-2019,4,9,9,4.50,0,5,4/45,52.40,0,0,0,-47.89,
1901,SW Lubbers (NL),1996-1996,4,24,9,8.00,0,5,3/48,37.40,0,1,0,-29.39,
1902,CA Lynn (AUS),2017-2018,4,75,44,18.75,0,-,-,-,-,3,0,-,
1903,PD McGlashan (NZ),2009-2009,4,63,56*,63.00,0,-,-,-,-,7,0,-,
1904,LD Madushanka (SL),2017-2017,4,14,7,4.66,0,4,2/70,43.00,0,0,0,-38.33,
1905,Mafizur Rahman (BDESH),1997-1997,4,53,16,17.66,0,0,-,-,0,1,0,-,
1906,GA Manou (AUS),2009-2009,4,7,7,7.00,0,-,-,-,-,5,0,-,
1907,KP Meiyappan (UAE),2019-2020,4,12,12,6.00,0,6,4/37,21.33,0,1,0,-15.33,
1908,Mohammad Aslam (UAE),1996-1996,4,38,23,9.50,0,-,-,-,-,0,0,-,
1909,Mohammad Nazir (PAK),1980-1984,4,4,2*,-,0,3,2/37,52.00,0,0,0,-,
1910,PJK Mooney (IRE),2006-2007,4,12,11*,12.00,0,0,-,-,0,2,0,-,
1911,Mujahid Jamshed (PAK),1997-1997,4,27,23,13.50,0,1,1/6,6.00,0,0,0,7.50,
1912,J Mulder (IRE),2017-2017,4,15,15*,-,0,5,3/57,31.00,0,1,0,-,
1913,Najeeb Amar (HKG),2004-2008,4,38,21,12.66,0,3,2/40,57.33,0,1,0,-44.66,
1914,Naveen-ul-Haq (AFG),2016-2019,4,9,8*,9.00,0,6,3/60,33.50,0,2,0,-24.49,
1915,SV Nayak (INDIA),1981-1982,4,3,3,3.00,0,1,1/51,161.00,0,1,0,-157.99,
1916,Nurul Abedin (BDESH),1986-1990,4,15,13,3.75,0,-,-,-,-,0,0,-,
1917,G Onions (ENG),2009-2009,4,1,1,1.00,0,4,2/58,46.25,0,1,0,-45.24,
1918,FN Otieno (KENYA),2010-2010,4,16,8,4.00,0,0,-,-,0,2,0,-,
1919,JV Paranjpe (INDIA),1998-1998,4,54,27,18.00,0,-,-,-,-,2,0,-,
1920,D Paterson (SA),2017-2019,4,-,-,-,-,4,3/44,54.25,0,2,0,-,
1921,MJ Petrie (SCOT),2009-2009,4,3,3,1.50,0,-,-,-,-,3,1,-,
1922,AR Pitcher (BMUDA),2006-2007,4,36,30,9.00,0,-,-,-,-,1,0,-,
1923,CT Radley (ENG),1978-1978,4,250,117*,83.33,1,-,-,-,-,0,0,-,
1924,LN Rajbanshi (NEPAL),2019-2020,4,5,3*,-,0,0,-,-,0,1,0,-,
1925,LS Rajput (INDIA),1985-1987,4,9,8,3.00,0,0,-,-,0,2,0,-,
1926,D Ramnarine (WI),1997-2001,4,5,2,1.66,0,3,2/52,54.66,0,0,0,-52.99,
1927,SK Ranasinghe (SL),1986-1986,4,55,41,18.33,0,3,1/28,32.00,0,1,0,-13.66,
1928,D Ranatunga (SL),1990-1990,4,49,25,12.25,0,-,-,-,-,1,0,-,
1929,B Regmi (NEPAL),2018-2019,4,13,12,3.25,0,4,2/49,29.25,0,0,0,-25.99,
1930,MH Richardson (NZ),2002-2002,4,42,26,10.50,0,-,-,-,-,1,0,-,
1931,MW Rushmere (SA),1992-1992,4,78,35,19.50,0,-,-,-,-,1,0,-,
1932,HD Rutherford (NZ),2013-2013,4,15,11,3.75,0,-,-,-,-,2,0,-,
1933,Saeed Azad (PAK),1995-1996,4,65,31,16.25,0,-,-,-,-,2,0,-,
1934,IDK Salisbury (ENG),1993-1994,4,7,5,7.00,0,5,3/41,35.40,0,1,0,-28.39,
1935,AM Salvi (INDIA),2003-2003,4,4,4*,2.00,0,4,2/15,30.00,0,2,0,-27.99,
1936,Sami Aslam (PAK),2015-2016,4,78,45,19.50,0,-,-,-,-,0,0,-,
1937,BB Seebaran (CAN),2003-2003,4,4,4*,4.00,0,1,1/61,130.00,0,1,0,-125.99,
1938,TAP Sekhar (INDIA),1983-1985,4,-,-,-,-,5,3/23,25.60,0,0,0,-,
1939,R Sharma (INDIA),2011-2012,4,1,1,1.00,0,6,3/43,29.50,0,1,0,-28.49,
1940,Shuvagata Hom (BDESH),2011-2011,4,70,35*,35.00,0,0,-,-,0,0,0,-,
1941,L Sipamla (SA),2020-2020,4,10,10*,-,0,2,1/40,61.00,0,1,0,-,
1942,Skhawat Ali (HKG),2008-2014,4,46,28,11.50,0,0,-,-,0,0,0,-,
1943,CL Smith (ENG),1984-1984,4,109,70,27.25,0,2,2/8,14.00,0,0,0,13.25,
1944,D Soraine (CAN),2006-2012,4,14,6,3.50,0,3,2/57,31.33,0,1,0,-27.83,
1945,L Sreekumar (UAE),2015-2016,4,61,28,15.25,0,-,-,-,-,1,0,-,
1946,GB Stevenson (ENG),1980-1981,4,43,28*,43.00,0,7,4/33,17.85,0,2,0,25.14,
1947,SL Stewart (NZ),2010-2010,4,26,14,6.50,0,-,-,-,-,0,0,-,
1948,OP Stone (ENG),2018-2018,4,9,9*,-,0,1,1/23,97.00,0,0,0,-,
1949,Tabarak Dar (HKG),2004-2008,4,101,36,25.25,0,-,-,-,-,0,0,-,
1950,APB Tennekoon (SL),1975-1979,4,137,59,34.25,0,-,-,-,-,3,0,-,
1951,DJ Terbrugge (SA),2000-2000,4,5,5,5.00,0,4,4/20,26.25,0,0,0,-21.24,
1952,CP Tremain (AUS),2016-2016,4,23,23*,23.00,0,7,3/64,36.42,0,1,0,-13.42,
1953,MS Tshabalala (SA),2007-2007,4,2,2*,-,0,3,1/30,50.33,0,0,0,-,
1954,S Tyagi (INDIA),2009-2010,4,1,1*,-,0,3,1/15,48.00,0,1,0,-,
1955,PS Vaidya (INDIA),1995-1996,4,15,12,7.50,0,4,2/41,43.50,0,2,0,-35.99,
1956,T van der Gugten (NL),2012-2013,4,4,2,2.00,0,8,5/24,10.62,1,0,0,-8.62,
1957,SL Watkin (ENG),1994-1994,4,4,4,2.00,0,7,4/49,27.57,0,0,0,-25.57,
1958,DS Wesonga (KENYA),2010-2011,4,61,33,20.33,0,2,2/28,14.00,0,3,0,6.33,
1959,BA Westdijk (NL),2011-2011,4,1,1*,0.50,0,1,1/56,195.00,0,1,0,-194.49,
1960,AGD Wickremasinghe (SL),1992-1993,4,2,2,2.00,0,-,-,-,-,2,4,-,
1961,LJ Woodcock (NZ),2011-2011,4,14,11,14.00,0,3,2/58,51.66,0,0,0,-37.66,
1962,RD Woolley (AUS),1983-1983,4,31,16,31.00,0,-,-,-,-,1,1,-,
1963,Yamin Ahmadzai (AFG),2015-2019,4,3,3*,3.00,0,2,1/23,69.50,0,2,0,-66.49,
1964,Zulqarnain Haider (PAK),2010-2010,4,48,19*,24.00,0,-,-,-,-,1,1,-,
1965,ME Sanuth (OMAN),2020-2020,3,46,40,23.00,0,0,-,-,0,0,0,-,
1966,Abdul Shakoor (UAE),2015-2018,3,54,24,18.00,0,-,-,-,-,4,1,-,
1967,MA Agarwal (INDIA),2020-2020,3,36,32,12.00,0,-,-,-,-,1,0,-,
1968,JP Agnew (ENG),1985-1985,3,2,2*,-,0,3,3/38,40.00,0,1,0,-,
1969,MJD Allingham (SCOT),1999-1999,3,11,6,3.66,0,-,-,-,-,1,0,-,
1970,S Amarnath (INDIA),1978-1978,3,100,62,33.33,0,-,-,-,-,1,0,-,
1971,J Angel (AUS),1994-1995,3,0,0,0.00,0,4,2/47,28.25,0,0,0,-28.24,
1972,HAG Anthony (WI),1995-1995,3,23,21,7.66,0,3,2/47,47.66,0,0,0,-39.99,
1973,Ashfaq Ahmed (PAK),1994-1994,3,-,-,-,-,0,-,-,0,0,0,-,
1974,Atiq-uz-Zaman (PAK),2000-2000,3,34,18,17.00,0,-,-,-,-,3,1,-,
1975,MRCN Bandaratilleke (SL),1998-1998,3,0,0,0.00,0,2,2/34,55.50,0,0,0,-55.49,
1976,T Banton (ENG),2020-2020,3,50,32,25.00,0,-,-,-,-,0,0,-,
1977,Bilal Asif (PAK),2015-2015,3,40,38,13.33,0,5,5/25,19.20,1,2,0,-5.86,
1978,RJ Blakey (ENG),1992-1993,3,25,25,12.50,0,-,-,-,-,2,1,-,
1979,D Brown (WI),2001-2002,3,10,9,10.00,0,5,3/21,24.80,0,0,0,-14.79,
1980,VR Brown (NZ),1988-1988,3,44,32,14.66,0,1,1/24,75.00,0,2,0,-60.33,
1981,DE Budge (SCOT),2018-2019,3,62,27,20.66,0,1,1/21,26.00,0,0,0,-5.33,
1982,RO Butcher (ENG),1980-1981,3,58,52,19.33,0,-,-,-,-,0,0,-,
1983,NM Carter (SCOT),2013-2013,3,0,0,0.00,0,5,3/27,26.40,0,0,0,-26.39,
1984,DL Chahar (INDIA),2018-2019,3,18,12,18.00,0,2,1/37,64.50,0,0,0,-46.49,
1985,CJD Chappell (CAN),1979-1979,3,38,19,12.66,0,-,-,-,-,0,0,-,
1986,U Chatterjee (INDIA),1995-1995,3,6,3*,6.00,0,3,2/35,39.00,0,1,0,-32.99,
1987,DB Close (ENG),1972-1972,3,49,43,16.33,0,0,-,-,0,1,0,-,
1988,PG Coman (NZ),1973-1974,3,62,38,20.66,0,-,-,-,-,2,0,-,
1989,NGB Cook (ENG),1984-1989,3,-,-,-,-,5,2/18,19.00,0,2,0,-,
1990,MJ Cosgrove (AUS),2006-2006,3,112,74,37.33,0,1,1/1,13.00,0,0,0,24.33,
1991,CS Cowdrey (ENG),1985-1985,3,51,46*,25.50,0,2,1/3,27.50,0,0,0,-1.99,
1992,IC Davis (AUS),1974-1977,3,12,11*,6.00,0,-,-,-,-,0,0,-,
1993,Dawlat Ahmadzai (AFG),2009-2010,3,-,-,-,-,1,1/40,121.00,0,0,0,-,
1994,LA Dawson (ENG),2016-2018,3,14,10,7.00,0,3,2/70,32.00,0,0,0,-24.99,
1995,BFW de Leede (NL),2018-2019,3,32,30,10.66,0,1,1/3,15.00,0,1,0,-4.33,
1996,FA Dennis (CAN),1979-1979,3,47,25,15.66,0,-,-,-,-,0,0,-,
1997,R Dhawan (INDIA),2016-2016,3,12,9,12.00,0,1,1/74,160.00,0,0,0,-147.99,
1998,BM Duckett (ENG),2016-2016,3,123,63,41.00,0,-,-,-,-,0,0,-,
1999,Fahim Muntasir (BDESH),2001-2002,3,6,5,3.00,0,0,-,-,0,2,0,-,
2000,Fawad Ahmed (AUS),2013-2013,3,4,4*,-,0,3,1/39,48.33,0,0,0,-,
2001,Fayyaz Ahmed (UAE),2014-2016,3,47,37*,47.00,0,0,-,-,0,0,0,-,
2002,ER Fernando (SL),1975-1975,3,47,22,15.66,0,-,-,-,-,0,0,-,
2003,TJ Franklin (NZ),1983-1988,3,27,21,9.00,0,-,-,-,-,0,0,-,
2004,Frasat Ali (EAf),1975-1975,3,57,45,19.00,0,0,-,-,0,0,0,-,
2005,IS Gallage (SL),1999-2001,3,17,14,17.00,0,3,2/42,38.33,0,0,0,-21.33,
2006,D Gamage (SL),2003-2003,3,3,2*,3.00,0,2,1/26,41.50,0,2,0,-38.49,
2007,DJ Gandhi (INDIA),1999-2000,3,49,30,16.33,0,-,-,-,-,0,0,-,
2008,LV Garrick (WI),2001-2001,3,99,76,33.00,0,-,-,-,-,0,0,-,
2009,SC Getkate (IRE),2019-2019,3,23,16*,23.00,0,6,2/30,20.00,0,1,0,3.00,
2010,Ghulam Ali (PAK),1993-1995,3,53,38,17.66,0,-,-,-,-,0,0,-,
2011,LR Gibbs (WI),1973-1975,3,0,0*,-,0,2,1/12,29.50,0,0,0,-,
2012,Y Goonasekera (SL),1983-1983,3,69,35,23.00,0,1,1/24,35.00,0,0,0,-11.99,
2013,EL Gouka (NL),1996-1996,3,19,19,19.00,0,1,1/32,51.00,0,0,0,-31.99,
2014,Gurkeerat Singh (INDIA),2016-2016,3,13,8,6.50,0,0,-,-,0,1,0,-,
2015,Haafiz Shahid (PAK),1988-1988,3,11,7*,11.00,0,3,2/56,37.33,0,0,0,-26.33,
2016,JD Hall (IRE),2010-2010,3,28,15,9.33,0,-,-,-,-,0,0,-,
2017,JH Hampshire (ENG),1971-1972,3,48,25*,24.00,0,-,-,-,-,0,0,-,
2018,Harilal Shah (EAf),1975-1975,3,6,6,2.00,0,-,-,-,-,0,0,-,
2019,PL Harris (SA),2008-2008,3,-,-,-,-,3,2/30,27.66,0,2,0,-,
2020,O Henry (SA),1992-1992,3,20,11,10.00,0,2,1/31,62.50,0,1,0,-52.49,
2021,KC Hodsoll (BMUDA),2007-2008,3,2,2*,2.00,0,3,2/48,33.33,0,1,0,-31.33,
2022,GW Humpage (ENG),1981-1981,3,11,6,5.50,0,-,-,-,-,2,0,-,
2023,R Illingworth (ENG),1971-1973,3,5,4,2.50,0,4,3/50,21.00,0,1,0,-18.49,
2024,IT Iqbal (KENYA),1996-1996,3,17,16,8.50,0,-,-,-,-,2,0,-,
2025,Jahangir Alam (BDESH),1997-1999,3,4,3,1.33,0,-,-,-,-,0,1,-,
2026,JA Jameson (ENG),1973-1975,3,60,28,20.00,0,0,-,-,0,0,0,-,
2027,Jawahir Shah (EAf),1975-1975,3,46,37,15.33,0,-,-,-,-,0,0,-,
2028,Jay Odedra (OMAN),2019-2020,3,-,-,-,-,5,4/34,20.20,0,1,0,-,
2029,K Jethi (CAN),2008-2008,3,87,46*,43.50,0,2,2/39,42.50,0,0,0,1.00,
2030,DI Joyce (IRE),2006-2007,3,29,18,9.66,0,-,-,-,-,1,0,-,
2031,Jubair Hossain (BDESH),2014-2015,3,5,5,5.00,0,4,2/41,28.50,0,1,0,-23.49,
2032,M Karg (NAM),2003-2003,3,45,41,22.50,0,-,-,-,-,1,0,-,
2033,F Kasteni (ZIM),2007-2007,3,18,9,6.00,0,-,-,-,-,0,0,-,
2034,S Kaul (INDIA),2018-2018,3,1,1,0.50,0,0,-,-,0,1,0,-,
2035,Khurram Nawaz (OMAN),2019-2019,3,26,17*,26.00,0,-,-,-,-,1,0,-,
2036,VJ Kingma (NL),2014-2019,3,-,-,-,-,2,1/47,53.50,0,1,0,-,
2037,GJP Kruger (SA),2006-2006,3,0,0*,0.00,0,2,1/43,69.50,0,1,0,-69.49,
2038,Kushal Malla (NEPAL),2020-2020,3,78,50,39.00,0,2,1/29,29.50,0,0,0,9.50,
2039,Liaqat Ali (PAK),1977-1978,3,7,7,7.00,0,2,1/41,55.50,0,0,0,-48.49,
2040,TA Lloyd (ENG),1984-1984,3,101,49,33.66,0,-,-,-,-,0,0,-,
2041,J Louw (SA),2008-2008,3,23,23,23.00,0,2,1/45,74.00,0,0,0,-50.99,
2042,JD Love (ENG),1981-1981,3,61,43,20.33,0,-,-,-,-,1,0,-,
2043,BW Luckhurst (ENG),1975-1975,3,15,14,5.00,0,-,-,-,-,0,0,-,
2044,MJ Lumb (ENG),2014-2014,3,165,106,55.00,1,-,-,-,-,1,0,-,
2045,MA Lynch (ENG),1988-1988,3,8,6,2.66,0,-,-,-,-,1,0,-,
2046,SCG MacGill (AUS),2000-2000,3,1,1,1.00,0,6,4/19,17.50,0,2,0,-16.49,
2047,AJ Mackay (ZIM),2001-2001,3,-,-,-,-,0,-,-,0,1,0,-,
2048,W Madhevere (ZIM),2020-2020,3,129,52,43.00,0,2,1/38,57.50,0,1,0,-14.49,
2049,JN Malan (SA),2020-2020,3,152,129*,76.00,1,-,-,-,-,3,0,-,
2050,RAL Massie (AUS),1972-1972,3,16,16*,-,0,3,2/35,43.00,0,1,0,-,
2051,BM Mauricette (CAN),1979-1979,3,20,15,6.66,0,-,-,-,-,0,0,-,
2052,Mehmood Quaraishy (EAf),1975-1975,3,41,19,20.50,0,3,2/55,31.33,0,0,0,-10.83,
2053,PL Mhambrey (INDIA),1996-1998,3,7,7*,-,0,3,2/69,40.00,0,0,0,-,
2054,Mohammad Abbas (PAK),2019-2019,3,-,-,-,-,1,1/44,153.00,0,0,0,-,
2055,Mohammad Khalil (PAK),2005-2005,3,0,0*,-,0,5,2/55,28.80,0,2,0,-,
2056,Mohammad Talha (PAK),2014-2014,3,0,0,0.00,0,4,2/22,36.50,0,0,0,-36.49,
2057,Morshed Ali Khan (BDESH),1998-1998,3,2,2*,-,0,2,1/26,42.50,0,2,0,-,
2058,SP Mukherjee (INDIA),1990-1991,3,2,2*,-,0,2,1/30,49.00,0,1,0,-,
2059,W Mwayenga (ZIM),2002-2004,3,1,1,0.50,0,1,1/61,157.00,0,2,0,-156.49,
2060,G Mylvaganam (UAE),1996-1996,3,36,23,12.00,0,-,-,-,-,1,0,-,
2061,PG Nana (EAf),1975-1975,3,9,8*,9.00,0,1,1/34,116.00,0,2,0,-106.99,
2062,Naseer Malik (PAK),1975-1975,3,0,0*,-,0,5,2/37,19.60,0,0,0,-,
2063,MN Nawaz (SL),1998-2002,3,31,15*,15.50,0,-,-,-,-,0,0,-,
2064,AM Nayar (INDIA),2009-2009,3,0,0*,-,0,0,-,-,0,0,0,-,
2065,DR O'Sullivan (NZ),1974-1976,3,2,1*,2.00,0,2,1/38,61.50,0,0,0,-59.49,
2066,JM Patel (CAN),1979-1979,3,3,2,1.00,0,0,-,-,0,0,0,-,
2067,ML Patel (KENYA),2004-2006,3,40,25,13.33,0,-,-,-,-,0,0,-,
2068,BMW Patterson (SCOT),1999-1999,3,10,10,3.33,0,-,-,-,-,0,0,-,
2069,GE Peckover (ZIM),1983-1983,3,33,16*,16.50,0,-,-,-,-,0,0,-,
2070,Pervez Mir (PAK),1975-1977,3,26,18,13.00,0,3,1/17,25.66,0,2,0,-12.66,
2071,IL Philip (SCOT),1999-1999,3,20,17,6.66,0,-,-,-,-,4,0,-,
2072,HSM Pieris (SL),1975-1975,3,19,16,9.50,0,2,2/68,67.50,0,0,0,-57.99,
2073,K Pierre (WI),2019-2020,3,39,21,19.50,0,1,1/50,158.00,0,0,0,-138.49,
2074,ADJ Pitcher (BMUDA),2007-2007,3,20,12,6.66,0,0,-,-,0,0,0,-,
2075,V Pollard (NZ),1973-1974,3,67,55,33.50,0,-,-,-,-,1,0,-,
2076,N Pothas (SA),2000-2000,3,24,24,24.00,0,-,-,-,-,4,1,-,
2077,M Pushpakumara (SL),2009-2010,3,7,7*,-,0,0,-,-,0,0,0,-,
2078,MR Pydanna (WI),1980-1983,3,2,2*,-,0,-,-,-,-,2,1,-,
2079,U Ranchod (ZIM),1992-1993,3,3,3*,-,0,1,1/44,130.00,0,1,0,-,
2080,V Razdan (INDIA),1989-1990,3,23,18,11.50,0,1,1/37,77.00,0,4,0,-65.49,
2081,B Reddy (INDIA),1978-1981,3,11,8*,-,0,-,-,-,-,2,0,-,
2082,CEB Rice (SA),1991-1991,3,26,14,13.00,0,2,1/46,57.00,0,0,0,-43.99,
2083,Rizwan-uz-Zaman (PAK),1981-1987,3,20,14,6.66,0,-,-,-,-,2,0,-,
2084,RJ Robinson (BMUDA),2007-2009,3,27,17,13.50,0,1,1/57,170.00,0,1,0,-156.49,
2085,Robiul Islam (BDESH),2013-2013,3,0,0*,-,0,2,1/21,58.50,0,0,0,-,
2086,LN Roche (ZIM),2018-2018,3,4,4,2.00,0,2,1/54,78.50,0,1,0,-76.49,
2087,Saad Nasim (PAK),2015-2015,3,99,77*,49.50,0,0,-,-,0,0,0,-,
2088,Salman Faris (UAE),2014-2014,3,43,27,14.33,0,-,-,-,-,0,0,-,
2089,Sami Faridi (CAN),2008-2008,3,19,16,9.50,0,0,-,-,0,0,0,-,
2090,AF Sattaur (CAN),2003-2003,3,20,13,6.66,0,-,-,-,-,2,0,-,
2091,GR Sealy (CAN),1979-1979,3,73,45,24.33,0,0,-,-,0,0,0,-,
2092,TL Seifert (NZ),2019-2019,3,33,22,16.50,0,-,-,-,-,7,1,-,
2093,CS Serjeant (AUS),1977-1978,3,73,46,24.33,0,-,-,-,-,1,0,-,
2094,RK Sethi (EAf),1975-1975,3,54,30,18.00,0,1,1/51,100.00,0,1,0,-81.99,
2095,Shadab Kabir (PAK),1996-1996,3,0,0,0.00,0,-,-,-,-,1,0,-,
2096,Shafiq Ahmed (PAK),1977-1978,3,41,29,13.66,0,-,-,-,-,1,0,-,
2097,Shahzaib Hasan (PAK),2010-2010,3,100,50,33.33,0,-,-,-,-,0,0,-,
2098,PP Shaw (INDIA),2020-2020,3,84,40,28.00,0,-,-,-,-,0,0,-,
2099,AP Sheahan (AUS),1972-1972,3,75,50,25.00,0,-,-,-,-,0,0,-,
2100,LR Shukla (INDIA),1999-1999,3,18,13,9.00,0,1,1/25,94.00,0,1,0,-84.99,
2101,RW Sims (ZIM),2002-2003,3,31,24,31.00,0,0,-,-,0,1,0,-,
2102,NA Statham (NL),2003-2009,3,7,7,2.33,0,-,-,-,-,0,0,-,
2103,AM Stuart (AUS),1997-1997,3,1,1,1.00,0,8,5/26,13.62,1,2,0,-12.62,
2104,GP Sulzberger (NZ),2000-2000,3,9,6*,9.00,0,3,1/28,34.00,0,0,0,-24.99,
2105,Sunzamul Islam (BDESH),2017-2018,3,19,19,19.00,0,5,2/22,15.80,0,0,0,3.20,
2106,Tariq Javed (CAN),1979-1979,3,15,8,5.00,0,-,-,-,-,0,0,-,
2107,JG Thomas (ENG),1986-1987,3,1,1*,1.00,0,3,2/59,48.00,0,0,0,-46.99,
2108,GJ Thompson (IRE),2008-2008,3,2,2,1.00,0,1,1/35,73.00,0,1,0,-71.99,
2109,LO Tikolo (KENYA),1996-1996,3,36,25*,-,0,0,-,-,0,2,0,-,
2110,MH Tissera (SL),1975-1975,3,78,52,26.00,0,-,-,-,-,0,0,-,
2111,SS Tiwary (INDIA),2010-2010,3,49,37*,-,0,-,-,-,-,2,0,-,
2112,AJ Tudor (ENG),2002-2002,3,9,6,9.00,0,4,2/30,34.00,0,1,0,-24.99,
2113,JN Valentine (CAN),1979-1979,3,3,3*,-,0,3,1/18,22.00,0,1,0,-,
2114,RF van Oosterom (NL),1996-2002,3,7,5*,7.00,0,-,-,-,-,2,0,-,
2115,BO van Rooi (NAM),2003-2003,3,26,17,26.00,0,1,1/24,119.00,0,0,0,-92.99,
2116,JCB Vaughan (CAN),1979-1979,3,30,29,10.00,0,0,-,-,0,0,0,-,
2117,K Verreynne (SA),2020-2020,3,101,50,33.66,0,-,-,-,-,3,0,-,
2118,MDJ Walker (NZ),2003-2003,3,10,10,10.00,0,4,4/49,29.75,0,2,0,-19.74,
2119,S Walusimbi (EAf),1975-1975,3,38,16,12.66,0,-,-,-,-,0,0,-,
2120,SM Warnapura (SL),2007-2008,3,35,30,11.66,0,-,-,-,-,3,0,-,
2121,Wasim Haider (PAK),1992-1992,3,26,13,13.00,0,1,1/36,79.00,0,0,0,-65.99,
2122,RJ Webb (NZ),1983-1983,3,6,6*,-,0,4,2/28,26.25,0,0,0,-,
2123,DS Weerakkody (SL),2017-2017,3,73,58,24.33,0,-,-,-,-,2,0,-,
2124,SR Welsh (CAN),2006-2008,3,41,32,20.50,0,0,-,-,0,1,0,-,
2125,SRD Wettimuny (SL),1975-1979,3,136,67,68.00,0,-,-,-,-,0,0,-,
2126,DJ White (NZ),1990-1990,3,37,15,12.33,0,-,-,-,-,1,0,-,
2127,RPAH Wickramaratne (SL),1993-1993,3,4,3,2.00,0,-,-,-,-,0,0,-,
2128,CM Willoughby (SA),2000-2003,3,0,0,0.00,0,2,2/39,74.00,0,0,0,-73.99,
2129,WA Wisneski (NZ),2000-2000,3,10,6,10.00,0,0,-,-,0,1,0,-,
2130,DJ Worrall (AUS),2016-2016,3,6,6*,-,0,1,1/43,171.00,0,1,0,-,
2131,T Yohannan (INDIA),2002-2002,3,7,5*,-,0,5,3/33,24.40,0,0,0,-,
2132,Zahid Razzak (BDESH),1988-1990,3,14,6,4.66,0,-,-,-,-,0,0,-,
2133,Zulfiqar Ali (EAf),1975-1975,3,39,30,19.50,0,4,3/63,41.50,0,1,0,-21.99,
2134,Aamer Hameed (PAK),1977-1978,2,-,-,-,-,1,1/32,38.00,0,1,0,-,
2135,Aamir Kaleem (OMAN),2019-2019,2,13,13,13.00,0,2,2/30,27.00,0,2,0,-13.99,
2136,Abdullah Mazari (AFG),2010-2010,2,3,3,3.00,0,2,1/18,24.50,0,1,0,-21.49,
2137,Abdul Jabbar (CAN),2007-2007,2,59,44,29.50,0,-,-,-,-,1,0,-,
2138,Abu Hider (BDESH),2018-2018,2,1,1,1.00,0,3,2/50,29.66,0,1,0,-28.66,
2139,Abu Jayed (BDESH),2019-2019,2,-,-,-,-,5,5/58,22.80,1,0,0,-,
2140,Aijaz Ali (USA),2004-2004,2,5,4,2.50,0,-,-,-,-,1,0,-,
2141,GW Aldridge (NZ),2011-2011,2,-,-,-,-,1,1/45,98.00,0,0,0,-,
2142,RP Alexander (USA),2004-2004,2,34,26,17.00,0,-,-,-,-,0,0,-,
2143,Ali Asad (UAE),2004-2004,2,21,12,21.00,0,2,2/35,36.50,0,0,0,-15.49,
2144,CR Amini (PNG),2014-2014,2,3,3*,-,0,3,2/33,26.33,0,1,0,-,
2145,RW Anderson (NZ),1976-1978,2,16,12,16.00,0,-,-,-,-,1,0,-,
2146,Anisur Rahman (BDESH),1995-1998,2,2,2,1.00,0,0,-,-,0,0,0,-,
2147,Arshad Pervez (PAK),1978-1978,2,11,8,5.50,0,-,-,-,-,0,0,-,
2148,Asghar Ali (UAE),2004-2004,2,14,14,7.00,0,-,-,-,-,0,0,-,
2149,Asif Mahmood (PAK),1998-1998,2,14,14,7.00,0,-,-,-,-,0,0,-,
2150,Asim Saeed (UAE),2004-2004,2,12,12,6.00,0,1,1/25,40.00,0,0,0,-33.99,
2151,SK Atai (PNG),2019-2019,2,24,24,24.00,0,-,-,-,-,0,0,-,
2152,Azmat Rana (PAK),1978-1978,2,42,22*,42.00,0,-,-,-,-,0,0,-,
2153,Badal Singh (OMAN),2020-2020,2,5,5,5.00,0,0,-,-,0,2,0,-,
2154,DM Basden (BMUDA),2007-2007,2,12,7,6.00,0,-,-,-,-,0,0,-,
2155,MD Bates (NZ),2012-2012,2,13,13,13.00,0,2,1/24,26.00,0,1,0,-12.99,
2156,IPP Batuwitarachchi (UAE),2008-2008,2,14,14,7.00,0,-,-,-,-,2,0,-,
2157,GR Beard (AUS),1981-1981,2,-,-,-,-,4,2/20,17.50,0,0,0,-,
2158,RR Beaton (WI),2017-2017,2,15,12*,15.00,0,1,1/60,102.00,0,0,0,-86.99,
2159,JE Benjamin (ENG),1994-1995,2,0,0,0.00,0,1,1/22,47.00,0,0,0,-46.99,
2160,A Bhandari (INDIA),2000-2004,2,0,0*,-,0,5,3/31,21.20,0,0,0,-,
2161,Bhupinder Singh snr (INDIA),1994-1994,2,6,6,6.00,0,3,3/34,26.00,0,0,0,-19.99,
2162,GA Bishop (AUS),1987-1987,2,13,7,6.50,0,-,-,-,-,1,0,-,
2163,J Blackwood (WI),2015-2015,2,11,9,5.50,0,0,-,-,0,1,0,-,
